era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
preBpix,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9988,0.001,0.001,4,0,0.9996,0.0004,0.001,4,0,0.0008,0.00117,0.001274
preBpix,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9994,0.0006,0.001,0,0,0.9998,0.0002,0.001,0,0,0.0004,0.00056,0.00107
preBpix,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9998,0.0002,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0001,0.0002,0.001011
preBpix,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9998,0.0002,0.001,0,4,0.9998,0.0002,0.001,4,0,0.0,0.00016,0.001
preBpix,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0,8e-05,0.001
preBpix,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0,0.00012,0.001
preBpix,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9998,0.0002,0.001,0,0,0.9999,0.0001,0.001,4,0,0.0002,0.00024,0.001014
preBpix,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0,0.00013,0.001
preBpix,unseed,EB_R9_0p55to0p85,70.0,90.0,0.9998,0.0002,0.001,0,0,0.9998,0.0002,0.001,0,0,0.0,0.00019,0.001
preBpix,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9992,0.0008,0.0014,0,0,0.9981,0.0019,0.0019,0,0,0.0011,0.00081,0.001832
preBpix,unseed,EB_R9gt0p85,0.0,21.0,0.9949,0.001,0.001,4,0,0.9938,0.0014,0.0015,0,0,0.001,0.00145,0.00145
preBpix,unseed,EB_R9gt0p85,21.0,25.0,0.9992,0.0008,0.001,4,0,0.9991,0.0009,0.001,4,0,0.0001,0.00078,0.001008
preBpix,unseed,EB_R9gt0p85,25.0,28.0,0.9987,0.001,0.001,4,0,0.9988,0.001,0.001,4,0,0.0001,0.001003,0.001003
preBpix,unseed,EB_R9gt0p85,28.0,31.0,0.9995,0.0005,0.001,4,0,0.9994,0.0006,0.001,4,0,0.0001,0.00046,0.001007
preBpix,unseed,EB_R9gt0p85,31.0,35.0,0.9998,0.0002,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0001,0.00018,0.001008
preBpix,unseed,EB_R9gt0p85,35.0,40.0,1.0,0.0,0.001,4,0,0.9999,0.0001,0.001,4,0,0.0001,5e-05,0.001005
