era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc,plot_cms,plot_exp
postBpix,seed,EE_R9gt0p93,37.0,40.0,0.952,0.0007,0,0,0.951,0.0016,4,0,0.001,0.001221,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_1p57To2p50_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_1p57To2p50_ph_sc_et_37p00To40p00.png
postBpix,seed,EE_R9gt0p93,40.0,45.0,0.9591,0.0007,4,4,0.9586,0.0005,4,0,0.0005,0.00086,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_1p57To2p50_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_1p57To2p50_ph_sc_et_40p00To45p00.png
postBpix,seed,EE_R9gt0p93,45.0,50.0,0.9648,0.0005,0,4,0.965,0.0006,4,0,0.0002,0.000539,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_1p57To2p50_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_1p57To2p50_ph_sc_et_45p00To50p00.png
postBpix,seed,EE_R9gt0p93,50.0,60.0,0.9632,0.0027,0,4,0.9661,0.0008,0,4,0.0029,0.003962,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_1p57To2p50_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_1p57To2p50_ph_sc_et_50p00To60p00.png
postBpix,seed,EE_R9gt0p93,60.0,70.0,0.9793,0.0018,0,0,0.9772,0.0025,0,0,0.0021,0.002766,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_1p57To2p50_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_1p57To2p50_ph_sc_et_60p00To70p00.png
postBpix,seed,EE_R9gt0p93,70.0,90.0,0.9812,0.002,4,0,0.9822,0.0041,0,0,0.001,0.002236,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_1p57To2p50_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_1p57To2p50_ph_sc_et_70p00To90p00.png
postBpix,seed,EE_R9gt0p93,90.0,999999.0,0.9919,0.0027,0,0,0.9887,0.0016,0,0,0.0032,0.004187,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_1p57To2p50_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9gt0p93/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_1p57To2p50_ph_sc_et_90p00To999999p00.png
postBpix,unseed,EB_R9_0p50to0p55,0.0,21.0,0.6744,0.0117,4,4,0.738,0.0172,0,0,0.0636,0.064667,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png
postBpix,unseed,EB_R9_0p50to0p55,21.0,25.0,0.8886,0.0195,4,4,0.8727,0.0126,4,4,0.0159,0.025161,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png
postBpix,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9301,0.0169,4,0,0.9022,0.0037,4,4,0.0279,0.032619,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png
postBpix,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9524,0.0135,4,0,0.9112,0.0019,0,0,0.0412,0.043355,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png
postBpix,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9263,0.0027,0,0,0.9267,0.0028,0,0,0.0004,0.002729,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png
postBpix,unseed,EB_R9_0p50to0p55,35.0,40.0,0.944,0.0017,4,0,0.944,0.002,0,0,0.0,0.0017,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png
postBpix,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9573,0.0017,0,0,0.9573,0.0012,0,0,0.0,0.0017,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,unseed,EB_R9_0p50to0p55,45.0,50.0,0.963,0.0023,4,0,0.962,0.0029,0,0,0.001,0.002508,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9606,0.0119,0,0,0.9606,0.0017,0,0,0.0,0.0119,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,unseed,EB_R9_0p50to0p55,60.0,70.0,0.9539,0.014,0,0,0.9584,0.0104,0,0,0.0045,0.014705,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9959,0.0353,0,0,0.9955,0.0111,0,0,0.0004,0.035302,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9165,0.0448,0,0,0.9472,0.0305,0,0,0.0307,0.05431,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_RooCMSShape/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p50to0p55/sig_bwDscb_bkg_Exponential/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,unseed,EB_R9_0p55to0p85,0.0,21.0,0.7477,0.017,4,4,0.7709,0.0034,4,0,0.0232,0.028762,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png
postBpix,unseed,EB_R9_0p55to0p85,21.0,25.0,0.9192,0.0081,4,4,0.9104,0.0019,4,4,0.0088,0.01196,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png
postBpix,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9511,0.0057,4,0,0.9356,0.0014,0,0,0.0155,0.016515,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png
postBpix,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9616,0.0095,0,0,0.9465,0.001,4,4,0.0151,0.01784,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png
postBpix,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9659,0.0052,0,0,0.9569,0.0006,0,0,0.009,0.010394,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png
postBpix,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9668,0.0004,0,4,0.9668,0.0004,0,4,0.0,0.0004,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png
postBpix,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9739,0.0003,0,0,0.9738,0.0003,0,0,0.0001,0.000316,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9751,0.0005,4,4,0.975,0.0004,4,0,0.0001,0.00051,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9704,0.0003,4,0,0.9733,0.0009,0,0,0.0029,0.002915,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9764,0.0044,0,4,0.9719,0.0041,0,0,0.0045,0.006294,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,unseed,EB_R9_0p55to0p85,70.0,90.0,0.9745,0.0021,4,0,0.9779,0.0041,0,0,0.0034,0.003996,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9795,0.0031,0,0,0.9838,0.0029,0,4,0.0043,0.005301,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,unseed,EB_R9gt0p85,0.0,21.0,0.8491,0.0019,0,4,0.8683,0.0116,4,4,0.0192,0.019294,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To21p00.png
postBpix,unseed,EB_R9gt0p85,21.0,25.0,0.9266,0.0035,4,4,0.9316,0.0056,0,0,0.005,0.006103,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_21p00To25p00.png
postBpix,unseed,EB_R9gt0p85,25.0,28.0,0.9563,0.006,4,0,0.9421,0.0012,4,0,0.0142,0.015416,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_25p00To28p00.png
postBpix,unseed,EB_R9gt0p85,28.0,31.0,0.9632,0.0021,0,0,0.9515,0.0007,4,0,0.0117,0.011887,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_28p00To31p00.png
postBpix,unseed,EB_R9gt0p85,31.0,35.0,0.9673,0.003,4,0,0.9604,0.0005,0,0,0.0069,0.007524,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_31p00To35p00.png
postBpix,unseed,EB_R9gt0p85,35.0,40.0,0.9682,0.0003,4,0,0.9692,0.0002,0,0,0.001,0.001044,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To40p00.png
postBpix,unseed,EB_R9gt0p85,40.0,45.0,0.9764,0.0001,0,0,0.9764,0.0002,0,0,0.0,0.0001,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,unseed,EB_R9gt0p85,45.0,50.0,0.9782,0.0004,0,0,0.9778,0.0002,0,0,0.0004,0.000566,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,unseed,EB_R9gt0p85,50.0,60.0,0.9793,0.001,4,0,0.9769,0.0003,0,4,0.0024,0.0026,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,unseed,EB_R9gt0p85,60.0,70.0,0.9768,0.0011,0,4,0.9776,0.0012,4,0,0.0008,0.00136,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin09_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,unseed,EB_R9gt0p85,70.0,90.0,0.9848,0.0013,4,0,0.982,0.0013,0,0,0.0028,0.003087,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin10_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,unseed,EB_R9gt0p85,90.0,999999.0,0.9848,0.0018,4,0,0.9839,0.0008,0,0,0.0009,0.002012,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin11_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,unseed,EE_R9_0p90to0p93,0.0,21.0,0.6823,0.0372,0,4,0.7025,0.0496,0,0,0.0202,0.042331,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To21p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/unseeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To21p00.png
