era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_cms,status_pass_cms,status_fail_cms,eff_exp,err_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc,plot_cms,plot_exp
postBpix,seed,EB_R9_0p55to0p85,35.0,37.0,0.933,0.006,0,0,0.9291,0.0009,0,4,0.0039,0.007156,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png
postBpix,seed,EB_R9_0p55to0p85,37.0,40.0,0.9416,0.0005,0,0,0.9416,0.0006,0,4,0.0,0.0005,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png
postBpix,seed,EB_R9_0p55to0p85,40.0,45.0,0.9496,0.0004,0,0,0.9495,0.0004,0,0,0.0001,0.000412,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,seed,EB_R9_0p55to0p85,45.0,50.0,0.9531,0.0009,0,0,0.9527,0.0005,4,4,0.0004,0.000985,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,seed,EB_R9_0p55to0p85,50.0,60.0,0.951,0.001,0,0,0.9533,0.001,0,0,0.0023,0.002508,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,seed,EB_R9_0p55to0p85,60.0,70.0,0.958,0.0169,0,0,0.9567,0.0029,4,4,0.0013,0.01695,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,seed,EB_R9_0p55to0p85,70.0,90.0,0.9696,0.0092,4,0,0.9681,0.0042,0,0,0.0015,0.009321,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,seed,EB_R9_0p55to0p85,90.0,999999.0,0.9755,0.003,0,0,0.9803,0.0031,0,0,0.0048,0.00566,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9_0p55to0p85/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,seed,EB_R9gt0p85,0.0,35.0,0.8346,0.0023,4,4,0.8237,0.0004,4,0,0.0109,0.01114,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_0p00To1p48_ph_sc_et_0p00To35p00.png
postBpix,seed,EB_R9gt0p85,35.0,37.0,0.9142,0.0003,0,0,0.9141,0.0007,4,4,0.0001,0.000316,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin01_ph_sc_abseta_0p00To1p48_ph_sc_et_35p00To37p00.png
postBpix,seed,EB_R9gt0p85,37.0,40.0,0.9262,0.0004,0,0,0.9262,0.0003,0,0,0.0,0.0004,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin02_ph_sc_abseta_0p00To1p48_ph_sc_et_37p00To40p00.png
postBpix,seed,EB_R9gt0p85,40.0,45.0,0.9383,0.0001,0,0,0.9383,0.0003,0,0,0.0,0.0001,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin03_ph_sc_abseta_0p00To1p48_ph_sc_et_40p00To45p00.png
postBpix,seed,EB_R9gt0p85,45.0,50.0,0.9452,0.0,0,0,0.9416,0.0004,4,0,0.0036,0.0036,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin04_ph_sc_abseta_0p00To1p48_ph_sc_et_45p00To50p00.png
postBpix,seed,EB_R9gt0p85,50.0,60.0,0.9509,0.0018,0,0,0.9512,0.0001,0,0,0.0003,0.001825,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin05_ph_sc_abseta_0p00To1p48_ph_sc_et_50p00To60p00.png
postBpix,seed,EB_R9gt0p85,60.0,70.0,0.96,0.0016,0,4,0.9606,0.0016,4,0,0.0006,0.001709,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin06_ph_sc_abseta_0p00To1p48_ph_sc_et_60p00To70p00.png
postBpix,seed,EB_R9gt0p85,70.0,90.0,0.9729,0.0011,4,0,0.9712,0.0014,0,0,0.0017,0.002025,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin07_ph_sc_abseta_0p00To1p48_ph_sc_et_70p00To90p00.png
postBpix,seed,EB_R9gt0p85,90.0,999999.0,0.9814,0.0026,0,0,0.9806,0.0012,0,0,0.0008,0.00272,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_RooCMSShape/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EB_R9gt0p85/sig_bwDscb_bkg_Exponential/bin08_ph_sc_abseta_0p00To1p48_ph_sc_et_90p00To999999p00.png
postBpix,seed,EE_R9_0p90to0p93,0.0,35.0,0.7875,0.004,4,0,0.7871,0.004,0,0,0.0004,0.00402,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_RooCMSShape/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To35p00.png,https://github.com/santanumahata/HLT-diphoton-efficiency-2023-results/blob/main/fit_plots/postBPix/seeded/EE_R9_0p90to0p93/sig_bwDscb_bkg_Exponential/bin00_ph_sc_abseta_1p57To2p50_ph_sc_et_0p00To35p00.png
