era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,seed,EE_R9gt0p93,35.0,37.0,0.9398,0.001,0.001,0,0,0.9394,0.0009,0.001,0,0,0.0004,0.001077,0.001077
postBpix,seed,EE_R9gt0p93,37.0,40.0,0.952,0.0009,0.001,0,0,0.951,0.0007,0.0004,4,0,0.001,0.001345,0.001414
postBpix,seed,EE_R9gt0p93,40.0,45.0,0.9591,0.0006,0.0006,4,4,0.9586,0.0005,0.0005,4,0,0.0005,0.000781,0.000781
postBpix,seed,EE_R9gt0p93,45.0,50.0,0.9648,0.0007,0.0006,0,4,0.965,0.0006,0.0006,4,0,0.0002,0.000728,0.000632
postBpix,seed,EE_R9gt0p93,50.0,60.0,0.9632,0.0009,0.0009,0,4,0.9661,0.0008,0.0008,0,4,0.0029,0.003036,0.003036
postBpix,seed,EE_R9gt0p93,60.0,70.0,0.9793,0.0023,0.0022,0,0,0.9772,0.0024,0.0028,0,0,0.0021,0.003114,0.003041
postBpix,seed,EE_R9gt0p93,70.0,90.0,0.9812,0.0033,0.0022,4,0,0.9822,0.0026,0.0017,0,0,0.001,0.003448,0.002417
postBpix,seed,EE_R9gt0p93,90.0,999999.0,0.9919,0.0023,0.0037,0,0,0.9887,0.0013,0.0015,0,0,0.0032,0.003941,0.004892
postBpix,unseed,EB_R9_0p50to0p55,0.0,21.0,0.6744,0.0268,0.0279,4,4,0.738,0.0177,0.0378,0,0,0.0636,0.069016,0.06945
postBpix,unseed,EB_R9_0p50to0p55,21.0,25.0,0.8886,0.0129,0.0112,4,4,0.8727,0.0091,0.0091,4,4,0.0159,0.020475,0.019449
postBpix,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9301,0.0188,0.0295,4,0,0.9022,0.0037,0.0037,4,4,0.0279,0.033643,0.040604
postBpix,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9524,0.0124,0.0148,4,0,0.9112,0.0039,0.004,0,0,0.0412,0.043026,0.043778
postBpix,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9263,0.0028,0.0028,0,0,0.9267,0.0028,0.0028,0,0,0.0004,0.002828,0.002828
postBpix,unseed,EB_R9_0p50to0p55,35.0,40.0,0.944,0.0017,0.0017,4,0,0.944,0.002,0.002,0,0,0.0,0.0017,0.0017
postBpix,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9573,0.0017,0.0017,0,0,0.9573,0.0017,0.0018,0,0,0.0,0.0017,0.0017
postBpix,unseed,EB_R9_0p50to0p55,45.0,50.0,0.963,0.0024,0.0023,4,0,0.962,0.0027,0.0028,0,0,0.001,0.0026,0.002508
postBpix,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9606,0.0044,0.0044,0,0,0.9606,0.0035,0.0017,0,0,0.0,0.0044,0.0044
postBpix,unseed,EB_R9_0p50to0p55,60.0,70.0,0.9539,0.0113,0.0153,0,0,0.9584,0.0253,0.0124,0,0,0.0045,0.012163,0.015948
postBpix,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9959,0.0353,0.013,0,0,0.9955,0.0111,0.0242,0,0,0.0004,0.035302,0.013006
postBpix,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9165,0.0449,0.0466,0,0,0.9472,0.0307,0.0305,0,0,0.0307,0.054392,0.055804
postBpix,unseed,EB_R9_0p55to0p85,0.0,21.0,0.7477,0.0088,0.0055,4,4,0.7709,0.0071,0.0069,4,0,0.0232,0.024813,0.023843
postBpix,unseed,EB_R9_0p55to0p85,21.0,25.0,0.9192,0.0052,0.0057,4,4,0.9104,0.0044,0.0021,4,4,0.0088,0.010222,0.010485
postBpix,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9511,0.0049,0.005,4,0,0.9356,0.0015,0.0014,0,0,0.0155,0.016256,0.016286
postBpix,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9616,0.0033,0.0035,0,0,0.9465,0.001,0.0009,4,4,0.0151,0.015456,0.0155
postBpix,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9659,0.0018,0.0018,0,0,0.9569,0.0006,0.0006,0,0,0.009,0.009178,0.009178
postBpix,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9668,0.0004,0.0004,0,4,0.9668,0.0004,0.0004,0,4,0.0,0.0004,0.0004
postBpix,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9739,0.0003,0.0003,0,0,0.9738,0.0003,0.0003,0,0,0.0001,0.000316,0.000316
postBpix,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9751,0.0006,0.0004,4,4,0.975,0.0004,0.0004,4,0,0.0001,0.000608,0.000412
postBpix,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9704,0.0013,0.0009,4,0,0.9733,0.0008,0.0008,0,0,0.0029,0.003178,0.003036
postBpix,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9764,0.0032,0.0123,0,4,0.9719,0.0036,0.0044,0,0,0.0045,0.005522,0.013097
postBpix,unseed,EB_R9_0p55to0p85,70.0,90.0,0.9745,0.0021,0.0022,4,0,0.9779,0.0041,0.0054,0,0,0.0034,0.003996,0.00405
postBpix,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9795,0.0027,0.004,0,0,0.9838,0.0026,0.0028,0,4,0.0043,0.005077,0.005873
postBpix,unseed,EB_R9gt0p85,0.0,21.0,0.8491,0.0119,0.0021,0,4,0.8683,0.0082,0.0102,4,4,0.0192,0.022589,0.019315
postBpix,unseed,EB_R9gt0p85,21.0,25.0,0.9266,0.0035,0.0053,4,4,0.9316,0.0053,0.0016,0,0,0.005,0.006103,0.007286
postBpix,unseed,EB_R9gt0p85,25.0,28.0,0.9563,0.0019,0.0036,4,0,0.9421,0.0012,0.0014,4,0,0.0142,0.014327,0.014649
postBpix,unseed,EB_R9gt0p85,28.0,31.0,0.9632,0.002,0.002,0,0,0.9515,0.0007,0.0007,4,0,0.0117,0.01187,0.01187
postBpix,unseed,EB_R9gt0p85,31.0,35.0,0.9673,0.001,0.0011,4,0,0.9604,0.0004,0.0004,0,0,0.0069,0.006972,0.006987
postBpix,unseed,EB_R9gt0p85,35.0,40.0,0.9682,0.0004,0.0004,4,0,0.9692,0.0002,0.0002,0,0,0.001,0.001077,0.001077
